Country,Climate Stress Index
Afghanistan,0.5037227216886507
Albania,0.5545810000000000
Algeria,0.5025249307983299
Andorra,0.4726059398524848
Angola,0.4930968301711933
Argentina,0.4970510000000000
Armenia,0.5036245655127842
Australia,0.4789940000000000
Austria,0.4535495304827278
Azerbaijan,0.4858587994026104
Bahamas,0.4892480278104639
Bahrain,0.5092725344752544
Bangladesh,0.4610024761234315
Barbados,0.4944914195727995
Belarus,0.5134112004991646
Belgium,0.5157945817338624
Belize,0.4932853432421462
Benin,0.4958032512359960
Bhutan,0.5154333716525562
Bolivia,0.5212072650711308
Bosnia and Herzegovina,0.5163456203350347
Botswana,0.5424979755965812
Brazil,0.5175560000000000
Brunei,0.4794415039901895
Bulgaria,0.5044528196204032
Burkina Faso,0.5186047351892833
Burundi,0.5023950788838057
Cambodia,0.5086750150469838
Cameroon,0.5201550552832728
Canada,0.5109570000000000
Cape Verde,0.4812797218795826
Central African Republic,0.5154528028617240
Chad,0.5465482232821949
Chile,0.5021783526370547
China,0.5015400000000000
Colombia,0.5350532782541715
Comoros,0.4931509163910847
Congo,0.5149600376712694
Costa Rica,0.4624312675573699
Croatia,0.4774096708541553
Cuba,0.5306155886117637
Cyprus,0.4938934624939196
Czech Republic,0.5288069074134065
Denmark,0.5337399311315709
Djibouti,0.5345477798127338
Dominica,0.5537792343150545
Dominican Republic,0.4617948284831175
Ecuador,0.5005312304757864
Egypt,0.5004418011458310
El Salvador,0.5126757280495567
Equatorial Guinea,0.4956898033423102
Eritrea,0.4876762382986869
Estonia,0.5179997419300352
Ethiopia,0.5137626541037179
Fiji,0.4962128845279243
Finland,0.4489730000000000
France,0.5472960000000000
Gabon,0.4871583864158932
Gambia,0.4837873146711231
Georgia,0.4812661337318281
Germany,0.4953310000000000
Ghana,0.4609675633547737
Greece,0.5490334734593828
Grenada,0.5164657432509994
Guatemala,0.4552258595044578
Guinea,0.5178893645737878
Guinea-Bissau,0.5410811239298025
Guyana,0.5280496283955833
Haiti,0.5412701492281169
Honduras,0.4933794494402322
Hungary,0.5451431003562707
Iceland,0.5292396395596600
India,0.5116950000000000
Indonesia,0.4829740000000000
Iran,0.5244784245994321
Iraq,0.4840453232466613
Ireland,0.5271218212602613
Israel,0.5073814225720727
Italy,0.4731765836712203
Jamaica,0.5194027998468959
Japan,0.5545810000000000
Jordan,0.5075150628494238
Kazakhstan,0.4993770702176427
Kenya,0.5119794967635457
Kiribati,0.5066253006766018
Kuwait,0.5406476966255515
Kyrgyzstan,0.5483403042935389
Laos,0.5545810000000000
Latvia,0.5421997128132731
Lebanon,0.5486250870583002
Lesotho,0.5290870234055225
Liberia,0.4928456475403249
Libya,0.4579347773862785
Liechtenstein,0.4962445182236375
Lithuania,0.5014521824546877
Luxembourg,0.5145867123800407
Madagascar,0.5154197069232629
Malawi,0.5009007543507926
Malaysia,0.4752623945715017
Maldives,0.5204974266377137
Mali,0.4806924462089612
Malta,0.4730944867185902
Marshall Islands,0.5238168524725381
Mauritania,0.4702176861863210
Mauritius,0.5360057306466879
Mexico,0.4489730000000000
Micronesia,0.4844031838036398
Moldova,0.5397141137227924
Monaco,0.4803457431123984
Mongolia,0.5146195079711298
Montenegro,0.5209418060141480
Morocco,0.5270336728231538
Mozambique,0.4844806007533368
Myanmar,0.5230286391058340
Namibia,0.5081508416571452
Nauru,0.5072680778087806
Nepal,0.4946815232467360
Netherlands,0.5370962137015363
New Zealand,0.5170946950173323
Nicaragua,0.4489730000000000
Niger,0.5419584177116947
Nigeria,0.4923300261916795
North Korea,0.4811987752614640
Norway,0.4809540482855282
Oman,0.5258483691648675
Pakistan,0.5308760808696639
Palau,0.5115367160225744
Panama,0.5520823690097363
Papua New Guinea,0.5250016779589897
Paraguay,0.4927914929497387
Peru,0.4746721977510372
Philippines,0.4989198189266667
Poland,0.4919528686765091
Portugal,0.5058809250662264
Qatar,0.5238739460955067
Romania,0.5454923360479259
Russia,0.5072670000000000
Rwanda,0.5088945821324383
Saint Kitts and Nevis,0.4948605759511991
